text,label
help we are trapped,1
need medical assistance urgently,1
enemy firing near village,1
send ambulance immediately,1
heavy artillery shelling started near our sector,1
sniper fire pinning us down on the main road,1
emergency medical evacuation needed for two civilians,1
unexploded ordnance found in the residential garden,1
drones circling above the village center,1
shrapnel injuries to multiple children near the school,1
white phosphorus detected in the northern district,1
trapped under a collapsed building after the missile strike,1
requesting immediate extraction from the combat zone,1
enemy ground troops entering the western outskirts,1
tank fire has destroyed the local water tower,1
landmines spotted on the dirt path near the farm,1
medic needed for a severe chest wound from a fragment,1
paratroopers landing in the fields behind us,1
missile siren sounding please seek immediate shelter,1
bombs,1
artillery,1
nuclear,1
incoming artillery barrage seek cover now,1
detected high radiation levels near the blast site,1
artillery impact on the hospital wing need help,1
unexploded cluster bomb in the middle of the road,1
threat of nuclear escalation remains high,1
suicide bomb attack at the southern checkpoint,1
ballistic missile launch detected in our direction,1
heavy artillery fire coming from the ridge,1
suspected pipe bomb found near the water station,1
artillery shells are landing closer to the camp,1
improvised explosive device detonated on the convoy,1
imminent nuclear strike warning issued for the city,1
the bomb crater is blocking the main highway,1
enemy forces using incendiary bombs on residential blocks,1
confirmed tactical nuclear detonation in the desert,1
artillery spotting drone is hovering overhead,1
phosphorus bomb burns reported at the clinic,1
dirty bomb threat detected in the subway tunnels,1
मदद करें हम फंसे हुए हैं,1
तुरंत चिकित्सा सहायता चाहिए,1
गांव के पास दुश्मन की फायरिंग हो रही है,1
तुरंत एंबुलेंस भेजें,1
हमारे क्षेत्र के पास भारी तोपखाना गोलाबारी शुरू हो गई है,1
मुख्य सड़क पर स्नाइपर फायर हमें रोक रहा है,1
दो नागरिकों के लिए आपातकालीन चिकित्सा निकासी चाहिए,1
रिहायशी बगीचे में अप्रयुक्त गोला-बारूद मिला,1
गांव के केंद्र के ऊपर ड्रोन घूम रहे हैं,1
स्कूल के पास कई बच्चों को छर्रे की चोटें लगी हैं,1
помогите мы в ловушке,1
срочно нужна медицинская помощь,1
вражеский обстрел возле деревни,1
немедленно отправьте скорую помощь,1
начался тяжелый артиллерийский обстрел рядом с нашим сектором,1
助けて 私たちは閉じ込められています,1
緊急の医療支援が必要です,1
村の近くで敵の発砲があります,1
すぐに救急車を送ってください,1
我々の区域近くで重砲撃が始まりました,1
we are safe and fine,0
having dinner at home,0
normal patrol completed,0
weather is calm today,0
the humanitarian corridor is currently open,0
we have enough food and water for three days,0
the generator is working and we have power,0
staying in the basement until the morning,0
the local market is selling bread today,0
we reached the designated safe zone successfully,0
patrol units report no enemy activity in sector 4,0
our cellar is reinforced and holding up well,0
the bridge is still standing and clear for travel,0
distributing blankets to the families in the bunker,0
we are observing the ceasefire from our position,0
the radio signal is clear and we are listening,0
evacuation bus has arrived at the checkpoint,0
all family members are accounted for in the shelter,0
nuclear power plant cooling systems are stable,0
the bomb squad has successfully defused the device,0
ordnance disposal team is clearing the sector,0
searching for the fallout shelter keys,0
strategic nuclear bombers are on routine patrol,0
the artillery battery has ceased firing for now,0
military transport carrying medical supplies,0
checking the perimeter for anti-tank mines,0
the nuclear reactor is offline for maintenance,0
loading the artillery pieces with smoke rounds,0
the bomb shelter air filters are working fine,0
i am eating lunch peacefully,0
i am sleeping in my room,0
i am happy today,0
i am sad today,0
i am angry,0
i am tired,0
i am bored,0
हम सुरक्षित और ठीक हैं,0
घर पर खाना खा रहे हैं,0
सामान्य गश्त पूरी हुई,0
आज मौसम शांत है,0
मैं शांतिपूर्वक खाना खा रहा हूँ,0
मैं अपने कमरे में सो रहा हूँ,0
मैं आज खुश हूँ,0
मैं आज उदास हूँ,0
मैं गुस्से में हूँ,0
मैं थका हुआ हूँ,0
мы в безопасности и всё хорошо,0
ужинаем дома,0
обычный патруль завершен,0
сегодня спокойная погода,0
я спокойно обедаю,0
я сплю в своей комнате,0
я сегодня счастлив,0
я сегодня грустный,0
я зол,0
я устал,0
私たちは安全で問題ありません,0
家で夕食を食べています,0
通常のパトロールが完了しました,0
今日は天気が穏やかです,0
私は平和に昼食を食べています,0
私は自分の部屋で寝ています,0
今日は幸せです,0
私は悲しいです,0
私は怒っています,0
私は疲れています,0
